"","ID","country","secano.area","total.area","secano.pct","mirca.start","mirca.end","N.app.0d","N.app.40d","Coincidencias","New_FPU","NFPU_INT","New_Basin","Basin_Name","Region","elev","variedad.1","SecondAppDay","NOM_MUNICI","NOMBRE_DPT"
"124","1756","Colombia",3789,3789,100,76,166,57.6453018188477,NA,1756,"NWS_COL",183,"NWS","Northwest_South_America","AND",104,"IB0056_FM6",34,"NUEVA GRANADA (Granada)","MAGDALENA"
"125","1755","Colombia",6987.8,6987.8,100,76,166,57.6453018188477,NA,1755,"NWS_COL",183,"NWS","Northwest_South_America","AND",65,"IB0056_FM6",34,"PLATO","MAGDALENA"
"126","1720","Colombia",5174.2,5174.2,100,76,166,57.6453018188477,NA,1720,"NWS_COL",183,"NWS","Northwest_South_America","AND",566,"IB0056_FM6",36,"VALLEDUPAR","CESAR"
"127","1721","Colombia",10437.8,10437.8,100,76,166,57.6453018188477,NA,1721,"NWS_COL",183,"NWS","Northwest_South_America","AND",536,"IB0056_FM6",36,"SAN DIEGO","CESAR"
"128","1757","Colombia",7444,7444,100,76,166,57.6453018188477,NA,1757,"NWS_COL",183,"NWS","Northwest_South_America","AND",75,"IB0056_FM6",33,"EL PASO","CESAR"
"129","1797","Colombia",7148,7148,100,76,166,57.6453018188477,NA,1797,"NWS_COL",183,"NWS","Northwest_South_America","AND",92,"IB0056_FM6",33,"CHIMICHAGUA","CESAR"
"130","1844","Colombia",4944.9,4944.9,100,76,166,57.6453018188477,NA,1844,"NWS_COL",183,"NWS","Northwest_South_America","AND",151,"IB0056_FM6",34,"TAMALAMEQUE","CESAR"
"131","2016","Colombia",2262.1,2262.1,100,76,166,57.6453018188477,NA,2016,"NWS_COL",183,"NWS","Northwest_South_America","AND",256,"IB0056_FM6",35,"SIMACOTA","SANTANDER"
"132","2146","Colombia",4470.4,4470.4,100,76,166,57.6453018188477,NA,2146,"ORI_COL",199,"ORI","Orinoco","AND",2303,"IB0006_INRA",58,"ZETAQUIRA","BOYACÁ"
"133","2193","Colombia",3359.5,3359.5,100,76,166,57.6453018188477,NA,2193,"NWS_COL",183,"NWS","Northwest_South_America","AND",688,"IB0056_FM6",38,"BELTRÁN","CUNDINAMARCA"
"134","2513","Colombia",565.2,565.2,100,76,166,57.6453018188477,NA,2513,"NWS_COL",183,"NWS","Northwest_South_America","AND",93,"IB0056_FM6",36,"MAGÜÍ (Payán)","NARIÑO"
"135","2140","Colombia",813.9,813.9,100,76,166,57.6453018188477,NA,2140,"NWS_COL",183,"NWS","Northwest_South_America","AND",1231,"IB0056_FM6",41,"TADÓ","CHOCÓ"
"136","2052","Colombia",1987.7,1987.7,100,76,166,57.6453018188477,NA,2052,"NWS_COL",183,"NWS","Northwest_South_America","AND",1702,"IB0056_FM6",45,"HELICONIA","ANTIOQUIA"
"137","2054","Colombia",2089.3,2089.3,100,76,166,57.6453018188477,NA,2054,"NWS_COL",183,"NWS","Northwest_South_America","AND",600,"IB0056_FM6",37,"CARACOLÍ","ANTIOQUIA"
"138","1718","Colombia",9537.8,9537.8,100,76,166,57.6453018188477,NA,1718,"NWS_COL",183,"NWS","Northwest_South_America","AND",34,"IB0056_FM6",34,"CONCORDIA","MAGDALENA"
"139","1796","Colombia",6897.2,6897.2,100,76,166,57.6453018188477,NA,1796,"NWS_COL",183,"NWS","Northwest_South_America","AND",38,"IB0056_FM6",33,"SAN SEBASTIÁN DE BUENAVISTA","MAGDALENA"
"140","1891","Colombia",7514.4,7514.4,100,76,166,57.6453018188477,NA,1891,"NWS_COL",183,"NWS","Northwest_South_America","AND",146,"IB0056_FM6",34,"GAMARRA","CESAR"
"141","1936","Colombia",896.8,896.8,100,76,166,57.6453018188477,NA,1936,"ORI_COL",199,"ORI","Orinoco","AND",1490,"IB0056_FM6",48,"SALAZAR","NORTE DE SANTANDER"
"142","1978","Colombia",152.3,152.3,100,76,166,57.6453018188477,NA,1978,"ORI_COL",199,"ORI","Orinoco","AND",2874,"IB0006_INRA",88,"SILOS","NORTE DE SANTANDER"
"143","2097","Colombia",2711.3,2711.3,100,76,166,57.6453018188477,NA,2097,"NWS_COL",183,"NWS","Northwest_South_America","AND",2195,"IB0006_INRA",59,"SABOYÁ","BOYACÁ"
"144","2145","Colombia",4284.5,4284.5,100,76,166,57.6453018188477,NA,2145,"NWS_COL",183,"NWS","Northwest_South_America","AND",2798,"IB0006_INRA",79,"CUCUNUBÁ","CUNDINAMARCA"
"145","2516","Colombia",577.6,577.6,100,76,166,57.6453018188477,NA,2516,"AMA_COL",5,"AMA","Amazon","AND",2670,"IB0006_INRA",64,"SANTA ROSA","CAUCA"
"146","2456","Colombia",102.6,102.6,100,76,166,57.6453018188477,NA,2456,"NWS_COL",183,"NWS","Northwest_South_America","AND",285,"IB0056_FM6",36,"GUAPI","CAUCA"
"147","2455","Colombia",603.8,603.8,100,76,166,57.6453018188477,NA,2455,"NWS_COL",183,"NWS","Northwest_South_America","AND",19,"IB0056_FM6",36,"OLAYA HERRERA (Bocas de Satinga)","NARIÑO"
"148","2512","Colombia",2449.3,2449.3,100,76,166,57.6453018188477,NA,2512,"NWS_COL",183,"NWS","Northwest_South_America","AND",17,"IB0056_FM6",36,"TUMACO","NARIÑO"
"149","2573","Colombia",1593.6,1593.6,100,76,166,80.8565979003906,NA,2573,"NWS_COL",183,"NWS","Northwest_South_America","AND",830,"IB0056_FM6",40,"BARBACOAS","NARIÑO"
"150","2576","Colombia",609.7,609.7,100,76,166,57.6453018188477,NA,2576,"AMA_COL",5,"AMA","Amazon","AND",1825,"IB0056_FM6",50,"MOCOA","PUTUMAYO"
"151","2578","Colombia",1212.7,1212.7,100,76,166,57.6453018188477,NA,2578,"AMA_COL",5,"AMA","Amazon","AND",506,"IB0056_FM6",37,"BELÉN DE LOS ANDAQUÍES","CAQUETÁ"
"152","2518","Colombia",904.6,904.6,100,76,166,57.6453018188477,NA,2518,"AMA_COL",5,"AMA","Amazon","AND",1322,"IB0056_FM6",44,"FLORENCIA","CAQUETÁ"
"153","2579","Colombia",2829.8,2829.8,100,76,166,57.6453018188477,NA,2579,"AMA_COL",5,"AMA","Amazon","AND",379,"IB0056_FM6",37,"MONTAÑITA","CAQUETÁ"
"154","2519","Colombia",705.6,705.6,100,76,166,57.6453018188477,NA,2519,"AMA_COL",5,"AMA","Amazon","AND",545,"IB0056_FM6",37,"EL DONCELLO","CAQUETÁ"
"155","2461","Colombia",729.6,729.6,100,76,166,57.6453018188477,NA,2461,"AMA_COL",5,"AMA","Amazon","AND",1528,"IB0056_FM6",46,"PUERTO RICO","CAQUETÁ"
"156","2405","Colombia",298.9,298.9,100,76,166,57.6453018188477,NA,2405,"ORI_COL",199,"ORI","Orinoco","AND",1251,"IB0056_FM6",47,"SAN VICENTE DEL CAGUÁN","CAQUETÁ"
"157","2462","Colombia",1824.3,1824.3,100,76,166,57.6453018188477,NA,2462,"AMA_COL",5,"AMA","Amazon","AND",573,"IB0056_FM6",37,"SAN VICENTE DEL CAGUÁN","CAQUETÁ"
"158","2520","Colombia",1218.9,1218.9,100,76,166,57.6453018188477,NA,2520,"AMA_COL",5,"AMA","Amazon","AND",372,"IB0056_FM6",36,"SAN VICENTE DEL CAGUÁN","CAQUETÁ"
"159","2521","Colombia",541.9,541.9,100,76,166,57.6453018188477,NA,2521,"AMA_COL",5,"AMA","Amazon","AND",291,"IB0056_FM6",36,"SAN VICENTE DEL CAGUÁN","CAQUETÁ"
"160","2580","Colombia",366.6,366.6,100,76,166,57.6453018188477,NA,2580,"AMA_COL",5,"AMA","Amazon","AND",238,"IB0056_FM6",36,"CARTAGENA DEL CHAIRÁ","CAQUETÁ"
"161","2351","Colombia",2460.6,2460.6,100,76,166,57.6453018188477,NA,2351,"ORI_COL",199,"ORI","Orinoco","AND",1601,"IB0056_FM6",45,"COLOMBIA","HUILA"
"162","2404","Colombia",2587.6,2587.6,100,76,166,57.6453018188477,NA,2404,"AMA_COL",5,"AMA","Amazon","AND",1250,"IB0056_FM6",41,"RIVERA","HUILA"
"163","2403","Colombia",1143.1,1143.1,100,76,166,57.6453018188477,NA,2403,"NWS_COL",183,"NWS","Northwest_South_America","AND",1840,"IB0056_FM6",48,"ÍQUIRA","HUILA"
"164","2517","Colombia",13541,13541,100,76,166,57.6453018188477,NA,2517,"NWS_COL",183,"NWS","Northwest_South_America","AND",1999,"IB0006_INRA",52,"PITALITO","HUILA"
"165","2143","Colombia",3520.5,3520.5,100,76,166,57.6453018188477,NA,2143,"NWS_COL",183,"NWS","Northwest_South_America","AND",582,"IB0056_FM6",37,"HONDA","TOLIMA"
"166","2192","Colombia",702.4,702.4,100,76,166,57.6453018188477,NA,2192,"NWS_COL",183,"NWS","Northwest_South_America","AND",2853,"IB0006_INRA",93,"SANTA ISABEL","TOLIMA"
"167","2244","Colombia",2784.2,2784.2,100,76,166,57.6453018188477,NA,2244,"NWS_COL",183,"NWS","Northwest_South_America","AND",1341,"IB0056_FM6",42,"ROVIRA","TOLIMA"
"168","2349","Colombia",1524.1,1524.1,100,76,166,57.6453018188477,NA,2349,"NWS_COL",183,"NWS","Northwest_South_America","AND",2406,"IB0006_INRA",57,"PLANADAS","TOLIMA"
"169","2298","Colombia",3151.6,3151.6,100,76,166,57.6453018188477,NA,2298,"NWS_COL",183,"NWS","Northwest_South_America","AND",1366,"IB0056_FM6",43,"PRADO","TOLIMA"
